Date,AGG,CL=F,DX-Y.NYB,GC=F,SI=F,^DJI,^DJT,^GSPC,^IRX,^IXIC,^N225,^RUT,^STOXX50E,^TNX,^VIX
2010-02-10 00:00:00+00:00,70.37347412109375,74.5199966430664,80.02999877929688,1075.800048828125,15.302000045776367,10038.3798828125,3856.139892578125,1068.1300048828125,0.10000000149011612,2147.8701171875,9963.990234375,595.8200073242188,2700.169921875,3.694000005722046,25.399999618530273
2010-02-12 00:00:00+00:00,70.27210998535156,74.12999725341797,80.31999969482422,1089.5,15.449000358581543,10099.1396484375,3917.56005859375,1075.510009765625,0.09000000357627869,2183.530029296875,10092.1904296875,610.719970703125,2674.4599609375,3.693000078201294,22.729999542236328
2010-02-16 00:00:00+00:00,70.44774627685547,77.01000213623047,79.69999694824219,1119.300048828125,16.149999618530273,10268.8095703125,3997.860107421875,1094.8699951171875,0.08500000089406967,2214.18994140625,10034.25,620.8400268554688,2720.77001953125,3.6640000343322754,22.25
2010-02-17 00:00:00+00:00,70.23153686523438,77.33000183105469,80.37999725341797,1119.5,16.097999572753906,10309.240234375,4007.6201171875,1099.510009765625,0.09000000357627869,2226.2900390625,10306.830078125,624.8300170898438,2762.25,3.742000102996826,21.719999313354492
2010-02-18 00:00:00+00:00,70.20459747314453,79.05999755859375,80.4000015258789,1118.0,16.059999465942383,10392.900390625,4005.889892578125,1106.75,0.08500000089406967,2241.7099609375,10335.6904296875,629.3200073242188,2778.300048828125,3.802999973297119,20.6299991607666
2010-02-19 00:00:00+00:00,70.25863647460938,79.80999755859375,80.63999938964844,1121.300048828125,16.413000106811523,10402.349609375,4060.52001953125,1109.1700439453125,0.0949999988079071,2243.8701171875,10123.580078125,631.6199951171875,2793.3701171875,3.7820000648498535,20.020000457763672
2010-02-22 00:00:00+00:00,70.13695526123047,80.16000366210938,80.51000213623047,1112.5999755859375,16.222000122070312,10383.3798828125,4090.989990234375,1108.010009765625,0.08500000089406967,2242.030029296875,10400.4697265625,632.25,2778.1201171875,3.7990000247955322,19.940000534057617
2010-02-23 00:00:00+00:00,70.386962890625,78.86000061035156,80.8499984741211,1102.699951171875,15.887999534606934,10282.41015625,4065.820068359375,1094.5999755859375,0.11500000208616257,2213.43994140625,10352.099609375,625.0700073242188,2730.570068359375,3.690999984741211,21.3700008392334
2010-02-24 00:00:00+00:00,70.46123504638672,80.0,80.8499984741211,1096.5,15.9399995803833,10374.16015625,4095.7900390625,1105.239990234375,0.10999999940395355,2235.89990234375,10198.830078125,630.4299926757812,2734.949951171875,3.694999933242798,20.270000457763672
2010-02-25 00:00:00+00:00,70.60315704345703,78.16999816894531,80.79000091552734,1107.800048828125,16.110000610351562,10321.0302734375,4113.81005859375,1102.93994140625,0.11500000208616257,2234.219970703125,10101.9599609375,630.4600219726562,2684.419921875,3.6419999599456787,20.100000381469727
